# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/SA101588_prokka.gff" "-o" "../data/rna_align/counttable_prokka.txt" "../data/rna_align/LND_0_rep1.fq.gz.bam" "../data/rna_align/LND_0_rep2.fq.gz.bam" "../data/rna_align/LND_0_rep3.fq.gz.bam" "../data/rna_align/LND_16_rep1.fq.gz.bam" "../data/rna_align/LND_16_rep2.fq.gz.bam" "../data/rna_align/LND_16_rep3.fq.gz.bam" "../data/rna_align/LND_8_rep1.fq.gz.bam" "../data/rna_align/LND_8_rep2.fq.gz.bam" "../data/rna_align/LND_8_rep3.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/LND_0_rep1.fq.gz.bam	../data/rna_align/LND_0_rep2.fq.gz.bam	../data/rna_align/LND_0_rep3.fq.gz.bam	../data/rna_align/LND_16_rep1.fq.gz.bam	../data/rna_align/LND_16_rep2.fq.gz.bam	../data/rna_align/LND_16_rep3.fq.gz.bam	../data/rna_align/LND_8_rep1.fq.gz.bam	../data/rna_align/LND_8_rep2.fq.gz.bam	../data/rna_align/LND_8_rep3.fq.gz.bam
SA101588_00034	101588_1	30712	31254	+	543	249	198	195	83	68	40	114	89	78
SA101588_00035	101588_1	31254	31343	+	90	70	72	56	29	30	17	30	35	35
SA101588_00036	101588_1	31579	32202	+	624	538	467	394	250	242	139	334	266	213
SA101588_00037	101588_1	32342	32974	+	633	336	316	279	198	173	106	234	222	178
SA101588_00038	101588_1	33021	33539	+	519	235	183	154	127	115	77	157	149	128
SA101588_00039	101588_1	34104	34733	+	630	326	290	266	209	225	183	275	233	184
SA101588_00040	101588_1	34857	35498	+	642	292	295	199	211	170	134	230	216	174
SA101588_00041	101588_1	35535	36170	+	636	133	99	114	103	59	58	86	93	76
SA101588_00042	101588_1	36136	36381	+	246	103	88	91	103	93	57	103	77	63
SA101588_00043	101588_1	36405	37031	+	627	224	206	167	185	201	155	227	204	181
SA101588_00044	101588_1	37301	38239	+	939	1936	2392	2233	1597	1498	1138	1807	1411	1298
SA101588_00045	101588_1	38275	38542	-	268	455	520	481	423	358	308	497	422	351
SA101588_00046	101588_1	38685	39221	+	537	2150	3372	2708	1855	1805	1109	2111	1737	1662
SA101588_00047	101588_1	39391	39867	+	477	726	721	707	431	391	206	464	395	370
SA101588_00048	101588_1	39907	41202	+	1296	2157	2344	2390	2187	1917	1184	2330	2010	1756
SA101588_00049	101588_1	41245	41751	+	507	871	1052	923	762	664	269	850	700	598
SA101588_00050	101588_1	42250	43260	+	1011	100	120	133	123	156	48	92	113	68
SA101588_00051	101588_1	43536	43952	+	417	984	1201	1228	1262	1140	674	1351	1181	1178
SA101588_00052	101588_1	43949	45610	+	1662	4081	4900	4562	5751	5062	2131	6508	5166	5088
SA101588_00053	101588_1	46095	46730	+	636	94	103	93	79	76	34	94	83	65
SA101588_00054	101588_1	47060	47947	+	888	796	862	913	356	332	221	394	339	347
SA101588_00055	101588_1	48062	49048	+	987	559	569	525	289	219	187	320	275	254
SA101588_00056	101588_1	49103	49822	+	720	700	771	659	357	277	207	377	324	349
SA101588_00057	101588_1	49806	50606	+	801	1179	1187	1225	869	697	563	909	767	720
SA101588_00058	101588_1	50742	51248	+	507	7028	7026	6175	6716	5961	5844	7392	6200	5212
SA101588_00059	101588_1	51410	52126	+	717	767	861	818	1103	834	680	1155	957	832
SA101588_00060	101588_1	52295	53083	+	789	1208	1520	1163	2569	2574	1019	2574	2298	2004
SA101588_00061	101588_1	53335	53709	-	375	10704	12009	11235	20473	18483	7561	22300	17120	16797
SA101588_00062	101588_1	53874	54069	-	196	18831	21878	19696	28752	24664	11504	32208	23396	23628
SA101588_00063	101588_1	54657	55586	-	930	295	292	261	236	196	179	274	217	198
SA101588_00064	101588_1	55779	56003	-	225	7	2	4	3	9	3	1	2	5
SA101588_00065	101588_1	56020	56223	-	204	10	8	8	10	5	2	12	10	11
SA101588_00066	101588_1	56378	56938	+	561	642	706	575	392	376	217	486	354	396
SA101588_00067	101588_1	56957	59359	+	2403	1559	1699	1563	757	838	863	914	812	717
SA101588_00068	101588_1	59346	59771	+	426	181	231	181	92	100	95	134	133	89
SA101588_00069	101588_1	59768	60112	+	345	192	209	218	125	125	109	110	141	100
SA101588_00070	101588_1	60102	61598	+	1497	937	1009	780	487	566	506	636	586	510
SA101588_00071	101588_1	61599	62081	+	483	288	334	294	176	217	180	246	219	171
SA101588_00072	101588_1	62078	62380	+	303	141	110	102	64	49	55	80	67	38
SA101588_00073	101588_1	62355	62792	+	438	275	285	243	196	172	149	215	239	179
SA101588_00074	101588_1	63131	65173	+	2043	1603	1470	1486	1044	885	764	1212	889	1004
SA101588_00075	101588_1	65368	65807	-	440	2349	3687	2010	1252	2077	2443	1759	2209	1047
SA101588_00076	101588_1	66265	67194	-	930	8089	14477	10434	4458	5245	2889	5130	5250	3449
SA101588_00077	101588_1	67191	68027	-	837	4649	5964	4135	1464	1904	1465	1990	2058	1331
SA101588_00078	101588_1	68021	68764	-	744	7077	10990	7824	2912	3796	2970	3989	3832	2637
SA101588_00079	101588_1	68886	69530	+	645	1067	1247	1205	822	720	259	1064	751	708
SA101588_00080	101588_1	69610	70362	-	753	249	266	199	107	137	98	188	123	106
SA101588_00081	101588_1	70598	71362	+	765	1094	1277	1271	550	442	239	641	540	576
SA101588_00082	101588_1	71422	72216	-	795	1803	1944	1785	1051	935	329	1288	924	898
SA101588_00083	101588_1	72563	73375	+	813	1896	1916	1551	1300	1271	636	1587	1333	1100
SA101588_00084	101588_1	73474	74577	+	1104	811	810	753	362	307	224	463	372	312
SA101588_00085	101588_1	74574	75635	+	1062	1111	1189	1243	703	592	399	836	565	573
SA101588_00086	101588_1	75698	76096	+	399	544	629	561	448	317	173	467	342	339
SA101588_00087	101588_1	76213	77508	-	1296	3101	4134	3990	4422	4464	4301	4963	3892	4260
SA101588_00088	101588_1	77929	79656	+	1728	9453	10162	9839	9322	8549	5547	11247	8804	8247
SA101588_00089	101588_1	80015	81244	+	1230	3543	3477	3154	1890	1617	1040	2090	1712	1648
SA101588_00090	101588_1	81394	81570	-	177	293	332	330	169	171	135	248	117	121
SA101588_00091	101588_1	81769	82602	+	834	1108	1244	1165	1411	1203	876	1536	1318	1195
SA101588_00092	101588_1	82884	83681	+	798	1428	1521	1561	1219	1018	619	1521	1047	1083
SA101588_00093	101588_1	83717	84721	+	1005	536	603	514	579	517	356	631	507	527
SA101588_00094	101588_1	84718	85734	+	1017	694	766	702	633	553	364	744	615	611
SA101588_00095	101588_1	85968	86936	+	969	2273	2190	1981	1213	922	681	1142	899	808
SA101588_00096	101588_1	86978	87562	+	585	1205	1152	1240	890	654	384	903	659	675
SA101588_00097	101588_1	87598	87918	+	321	676	546	569	440	343	147	420	324	353
SA101588_00098	101588_1	88034	88531	+	498	3840	4014	3647	4315	3615	1295	4743	3817	3410
SA101588_00099	101588_1	88987	90054	+	1068	1472	1696	1204	2164	2245	1578	2188	2277	1809
SA101588_00100	101588_1	90205	91248	+	1044	594	623	664	735	620	458	818	709	640
SA101588_00101	101588_1	91578	92006	+	429	285	442	370	451	426	192	528	423	381
SA101588_00102	101588_1	92214	92720	-	507	790	755	662	251	248	211	291	275	208
SA101588_00103	101588_1	92833	93756	+	924	955	1052	1039	825	719	534	883	744	722
SA101588_00104	101588_1	93772	94446	+	675	680	763	713	547	463	309	620	429	448
SA101588_00105	101588_1	94439	95479	+	1041	1021	1134	1120	871	753	615	933	740	721
SA101588_00106	101588_1	95626	96387	+	762	765	814	803	1114	948	997	1072	931	1020
SA101588_00107	101588_1	96377	98266	+	1890	1505	1620	1585	2161	2065	1912	2348	1997	2002
SA101588_00108	101588_1	98882	99499	+	618	1990	2501	2102	3506	3789	1878	3680	3561	2809
SA101588_00109	101588_1	99515	100522	+	1008	2093	2436	1802	2874	3378	2721	3268	3484	2534
SA101588_00110	101588_1	101104	101901	-	798	14258	16770	14307	33218	28314	16461	35932	26820	26604
SA101588_00111	101588_1	102262	102906	+	645	1255	1105	1135	315	256	105	408	293	317
SA101588_00112	101588_1	103603	105753	+	2151	1173	972	966	267	242	104	359	284	284
SA101588_00113	101588_1	105833	106258	+	426	577	716	672	653	515	143	677	568	551
SA101588_00114	101588_1	106448	107164	+	717	2182	2533	2339	2281	2036	1271	2640	2060	1951
SA101588_00115	101588_1	107164	107637	+	474	839	1075	873	1065	1000	472	1323	1030	978
SA101588_00116	101588_1	107989	108633	+	645	1274	1218	1161	814	687	644	931	716	663
SA101588_00117	101588_1	108750	109616	+	867	1202	1196	1279	1174	1045	1046	1345	1159	1030
SA101588_00118	101588_1	110043	111263	+	1221	764	668	571	848	903	545	1028	991	818
SA101588_00119	101588_1	111260	111748	+	489	263	288	252	365	338	120	384	312	308
SA101588_00120	101588_1	111847	112536	-	690	751	655	586	370	268	112	414	347	301
SA101588_00121	101588_1	112663	113106	+	444	62	68	61	86	73	65	119	96	85
SA101588_00122	101588_1	113173	113556	+	384	842	1081	1022	914	755	656	911	830	832
SA101588_00123	101588_1	113694	113993	+	300	1726	1858	1717	1762	1367	630	1645	1401	1464
SA101588_00124	101588_1	114073	114615	+	543	277	281	277	177	171	88	215	162	197
SA101588_00125	101588_1	114710	115276	-	567	1835	1746	1718	2219	1783	1336	2379	1825	1811
SA101588_00126	101588_1	115278	115736	-	459	1714	1698	1746	2543	2090	1695	2586	1900	1880
SA101588_00127	101588_1	115739	116422	-	684	7153	7691	7925	6135	4645	3673	6060	4511	4895
SA101588_00128	101588_1	116593	117468	-	876	1502	1694	1343	1307	1323	650	1649	1406	1238
SA101588_00129	101588_1	117687	119318	+	1632	1092	1167	1052	1679	1518	825	1765	1558	1276
SA101588_00130	101588_1	119315	120988	+	1674	991	1038	1001	1464	1383	667	1749	1342	1190
SA101588_00131	101588_1	121115	121558	-	444	28268	32264	32674	22308	19824	18455	25041	19788	20324
SA101588_00132	101588_1	121787	122713	+	927	2555	2072	1884	3586	2874	3243	3729	3651	2495
SA101588_00133	101588_1	122816	123724	+	909	1652	1923	1731	1259	1179	585	1475	1062	1145
SA101588_00134	101588_1	123759	124046	+	288	274	247	221	126	141	50	162	161	138
SA101588_00135	101588_1	124329	125882	+	1554	1016	1121	901	1175	1172	1041	1397	1256	1022
SA101588_00136	101588_1	125968	127341	+	1374	1734	1849	1825	2539	2480	2320	2880	2348	2123
SA101588_00137	101588_1	127496	127780	-	285	230	268	260	181	177	176	227	193	185
SA101588_00138	101588_1	127777	128394	-	618	621	655	503	494	513	598	582	540	460
SA101588_00139	101588_1	128581	129003	-	423	377	429	297	295	302	246	373	312	223
SA101588_00140	101588_1	129214	130380	+	1167	655	738	570	1161	1213	1043	1241	1142	931
SA101588_00141	101588_1	130678	131130	+	453	612	743	577	1853	1532	677	1766	1608	1538
SA101588_00142	101588_1	131304	131786	+	483	267	362	361	525	409	329	538	424	398
SA101588_00143	101588_1	132039	132800	+	762	40	167	70	81	168	76	139	139	75
SA101588_00144	101588_1	132797	133717	+	921	72	197	102	108	215	97	156	184	121
SA101588_00145	101588_1	133723	135687	+	1965	216	412	260	289	592	275	455	539	355
SA101588_00146	101588_1	135995	137176	+	1182	1096	1267	1228	537	436	298	565	442	456
SA101588_00147	101588_1	137397	138746	+	1350	3224	3610	3384	5017	4566	1808	5959	4599	4526
SA101588_00148	101588_1	138966	139805	+	840	2395	2272	2289	1035	795	458	1110	817	813
SA101588_00149	101588_1	139937	140920	+	984	2161	1967	1843	1233	1017	468	1374	1019	983
SA101588_00150	101588_1	140993	142048	-	1056	5961	5673	7208	5638	3452	5384	5812	3478	4908
SA101588_00151	101588_1	142048	142734	-	687	3337	2436	3003	2382	1519	2672	2458	1547	2039
SA101588_00152	101588_1	142709	143182	-	474	2434	2096	2928	1996	1209	2534	2103	1196	1775
SA101588_00153	101588_1	143523	143963	-	441	5913	3812	6568	4139	2051	5033	4035	2033	3213
SA101588_00154	101588_1	144244	144828	-	585	480	454	374	251	218	147	294	274	219
SA101588_00155	101588_1	144927	145640	-	714	243	237	249	386	322	323	397	336	326
SA101588_00156	101588_1	145644	146063	-	420	82	69	51	132	127	130	151	117	130
SA101588_00157	101588_1	146065	146733	-	669	76	79	66	203	218	191	243	180	186
SA101588_00158	101588_1	147084	147677	+	594	121	86	85	55	39	38	45	45	37
SA101588_00159	101588_1	147661	148812	+	1152	375	334	382	194	186	171	219	165	152
SA101588_00160	101588_1	148812	149420	+	609	227	264	284	157	168	122	197	143	137
SA101588_00161	101588_1	149552	149631	-	80	101	77	89	54	47	44	73	77	67
SA101588_00162	101588_1	149779	150489	+	711	498	596	592	577	444	442	632	463	466
SA101588_00163	101588_1	150473	151477	+	1005	833	930	920	886	822	692	1060	763	713
SA101588_00164	101588_1	151951	153891	+	1941	12347	14074	12857	16317	15084	8201	19312	15766	13551
SA101588_00165	101588_1	154168	156045	+	1878	1144	1500	1549	1910	1568	1671	2008	1644	1750
SA101588_00166	101588_1	156057	157838	+	1782	1553	1955	1820	2684	2365	1973	2824	2400	2392
SA101588_00167	101588_1	158059	159036	+	978	1992	1843	1858	739	611	892	841	580	619
SA101588_00168	101588_1	159029	160543	+	1515	2951	2881	2747	1820	1449	1592	1926	1436	1379
SA101588_00169	101588_1	160783	161841	+	1059	821	793	807	746	643	941	843	629	714
SA101588_00170	101588_1	162000	162542	+	543	1306	1359	1228	1296	1203	996	1519	1264	1148
SA101588_00171	101588_1	162708	162918	-	211	206	309	235	277	229	238	340	249	205
SA101588_00172	101588_1	163279	164196	-	918	1873	1715	1725	2385	1992	960	2680	1887	1838
SA101588_00173	101588_1	164466	165971	-	1506	9462	9090	8778	7167	5955	5192	8262	5863	5705
SA101588_00174	101588_1	166311	166811	-	501	329	364	323	421	444	223	566	469	460
SA101588_00175	101588_1	166831	167697	-	867	526	486	446	638	633	466	811	641	608
SA101588_00176	101588_1	168499	168897	+	399	1540	1827	1813	2044	1501	2030	2006	1502	1597
SA101588_00177	101588_1	168860	170965	+	2106	13073	13826	12352	18198	14587	14781	19165	14972	14202
SA101588_00178	101588_1	171085	172056	+	972	6626	8593	7411	9606	7188	4464	10888	7828	8220
SA101588_00179	101588_1	172426	173397	+	972	161	132	121	106	145	126	161	177	123
SA101588_00180	101588_1	173384	174340	+	957	115	95	93	84	87	63	129	123	68
SA101588_00181	101588_1	174337	175098	+	762	94	111	126	117	105	68	139	99	88
SA101588_00182	101588_1	175217	176245	+	1029	598	715	550	403	379	137	499	415	368
SA101588_00183	101588_1	176562	176876	-	315	498	605	554	448	390	457	559	455	379
SA101588_00184	101588_1	176894	177817	-	924	1711	1729	1552	949	925	1168	1174	992	842
SA101588_00185	101588_1	177944	178462	-	519	478	483	478	466	463	445	500	462	403
SA101588_00186	101588_1	178582	179460	+	879	982	1130	1057	822	678	348	895	700	740
SA101588_00187	101588_1	179614	179934	+	321	1106	1517	1304	1853	1825	454	2093	1790	1729
SA101588_00188	101588_1	180359	181483	+	1125	955	1277	1116	1269	1080	832	1397	1103	1107
SA101588_00189	101588_1	181678	182904	-	1227	2717	2763	2467	1561	1419	854	1925	1563	1383
SA101588_00190	101588_1	182918	183412	-	495	312	288	271	202	193	125	234	187	199
SA101588_00191	101588_1	183430	184191	-	762	393	386	329	179	176	166	243	188	186
SA101588_00192	101588_1	184387	185457	-	1071	1274	1308	1183	2095	2232	2140	2568	2189	1828
SA101588_00193	101588_1	185775	186830	+	1056	1000	942	908	737	619	438	904	745	656
SA101588_00194	101588_1	186994	187635	-	642	606	622	599	221	173	202	274	218	194
SA101588_00195	101588_1	187779	188645	+	867	2626	2996	2754	3469	3257	1518	3857	3018	2955
SA101588_00196	101588_1	189009	190091	+	1083	30	49	53	89	84	76	109	80	83
SA101588_00197	101588_1	190084	190758	+	675	81	92	91	94	70	50	100	65	58
SA101588_00198	101588_1	190819	191391	+	573	9214	10417	11350	4039	2856	1621	4125	2608	2724
SA101588_00199	101588_1	191805	194336	+	2532	9182	11029	9921	7516	6487	5096	9060	6920	6508
SA101588_00200	101588_1	194770	195762	+	993	1424	1838	1777	1812	1622	2037	1915	1593	1683
SA101588_00201	101588_1	195759	195983	+	225	122	117	83	100	97	125	101	99	84
SA101588_00202	101588_1	196368	197207	+	840	748	1084	925	1107	1090	1592	1419	1107	1112
SA101588_00203	101588_1	197381	198031	+	651	779	787	931	334	251	105	326	247	329
SA101588_00204	101588_1	198028	198264	+	237	216	205	240	60	59	15	74	70	49
SA101588_00205	101588_1	198533	200518	+	1986	1962	2270	2007	1449	1320	1113	1719	1362	1274
SA101588_00206	101588_1	200526	203372	+	2847	3676	4153	3792	3419	3040	2689	4002	3006	2923
SA101588_00207	101588_1	203982	204914	+	933	1721	2041	2218	1336	1149	871	1496	1136	1124
SA101588_00208	101588_1	204920	205759	+	840	1371	1374	1298	839	749	376	1033	834	735
SA101588_00209	101588_1	205767	206252	+	486	693	722	669	507	483	224	593	485	398
SA101588_00210	101588_1	206260	207699	+	1440	1727	1660	1590	1776	1632	849	1923	1682	1464
SA101588_00211	101588_1	207766	208701	+	936	7294	7855	8291	4917	3971	2008	5637	4089	4310
SA101588_00212	101588_1	209047	209274	-	228	25	24	13	14	11	12	15	18	6
SA101588_00213	101588_1	209097	209325	+	229	75	86	77	73	73	41	75	75	59
SA101588_00214	101588_1	209469	210380	+	912	1641	1913	1860	1913	1616	1080	2276	1663	1712
SA101588_00215	101588_1	210377	211372	+	996	2726	2770	2692	3813	3105	2383	4258	3200	3291
SA101588_00216	101588_1	211481	212425	+	945	1823	2358	2305	4301	3601	2247	4787	3350	3644
SA101588_00218	101588_1	212995	213582	+	588	5916	7581	7564	2859	2450	963	4052	2520	2639
SA101588_00219	101588_1	213765	215399	+	1635	690	932	749	709	658	534	816	642	583
SA101588_00220	101588_1	215606	216475	-	870	508	484	493	904	661	923	918	707	707
SA101588_00221	101588_1	216657	216780	+	124	141	139	122	126	109	88	142	136	106
SA101588_00222	101588_1	217211	217840	+	630	1351	1852	1928	2990	2588	4285	3344	2560	2828
SA101588_00223	101588_1	217980	218248	+	269	82	82	51	70	62	82	77	77	84
SA101588_00224	101588_1	218615	219628	+	1014	8487	9862	9508	8406	7536	6001	10654	7015	7325
SA101588_00225	101588_1	219681	220691	+	1011	21716	22714	22086	14988	13122	11689	16669	12130	11895
SA101588_00226	101588_1	220830	222020	+	1191	8190	8510	8284	6991	6182	7915	7505	5602	5517
SA101588_00227	101588_1	222142	222903	+	762	5829	6300	6298	5889	5140	6016	6185	4730	4795
SA101588_00228	101588_1	222906	224423	+	1518	11420	11795	11478	10588	9569	9798	11592	9190	8610
SA101588_00229	101588_1	224553	225857	+	1305	46765	44992	44583	19593	16888	10248	22179	16168	15827
SA101588_00230	101588_1	226196	226654	+	459	1430	1434	1388	1747	1521	998	2230	1754	1467
SA101588_00231	101588_1	226721	226954	+	234	1580	1940	1703	2957	3019	1491	3457	3070	2524
SA101588_00232	101588_1	227083	227823	+	741	1393	1718	1527	6274	6398	5011	6284	5805	5174
SA101588_00233	101588_1	227857	230229	+	2373	5882	6546	6139	21722	22091	17971	22486	20436	17943
SA101588_00234	101588_1	230251	230715	+	465	976	1069	945	3153	3174	2406	3377	3059	2702
SA101588_00236	101588_1	231525	232070	+	546	4272	5005	4757	5073	4444	2952	5197	4266	4141
SA101588_00237	101588_1	232501	233229	-	729	1281	2075	1657	289	292	147	360	304	247
SA101588_00238	101588_1	233838	234359	+	522	323	282	323	582	461	668	606	417	407
SA101588_00239	101588_1	234498	235028	+	531	338	311	392	665	585	798	645	552	568
SA101588_00240	101588_1	235292	238123	+	2832	13154	14895	15173	24110	20220	25724	28064	19466	21591
SA101588_00241	101588_1	238344	239858	+	1515	93	105	98	153	118	159	118	124	103
SA101588_00242	101588_1	240209	241135	+	927	180	124	165	138	104	146	171	109	137
SA101588_00243	101588_1	241469	241951	+	483	129	136	165	132	100	136	146	102	125
SA101588_00244	101588_1	242292	242978	+	687	9833	9344	13565	4459	3453	4276	4332	3633	4326
SA101588_00245	101588_1	243335	243535	+	201	2243	4711	3861	19341	18405	3274	17974	15158	15515
SA101588_00246	101588_1	244032	244250	-	219	139	156	112	70	71	25	83	60	49
SA101588_00247	101588_1	244311	244595	-	285	165	224	189	113	117	38	137	111	80
SA101588_00248	101588_1	244683	245252	-	570	273	265	232	117	115	68	150	154	144
SA101588_00249	101588_1	245440	245628	-	189	189	205	194	178	171	104	197	157	169
SA101588_00250	101588_1	245656	245916	-	261	676	575	467	487	432	245	545	427	395
SA101588_00251	101588_1	246258	246461	+	204	1123	1439	1347	1656	1423	985	1965	1624	1506
SA101588_00252	101588_1	246458	246694	-	237	2177	2165	2116	3287	2550	1631	3701	2845	2743
SA101588_00253	101588_1	246919	247500	+	582	973	1162	1391	720	554	498	976	570	876
SA101588_00254	101588_1	247573	248190	-	618	555	550	540	459	398	271	562	436	460
SA101588_00255	101588_1	248339	248833	-	495	2029	2000	1907	2698	2159	1626	3009	2109	1986
SA101588_00256	101588_1	249232	249654	-	423	1443	1337	1458	1200	886	671	1217	862	877
SA101588_00257	101588_1	249802	250518	+	717	329	334	340	314	265	190	361	251	238
SA101588_00258	101588_1	250601	251140	+	540	1086	1357	1473	1270	1091	383	1507	1050	1070
SA101588_00259	101588_1	251290	251610	-	321	1845	1977	1772	489	352	189	540	437	481
SA101588_00260	101588_1	251754	252110	+	357	4868	4386	4533	2204	1666	548	2279	1755	1759
SA101588_00261	101588_1	252268	252648	+	381	25051	31742	30919	10835	8740	1798	12028	8930	8755
SA101588_00262	101588_1	252828	253706	+	879	810	1018	847	479	535	327	629	506	458
SA101588_00263	101588_1	253960	254241	+	282	120	119	76	51	72	31	64	60	48
SA101588_00264	101588_1	254405	254794	+	390	547	549	565	765	619	277	917	575	651
SA101588_00265	101588_1	254787	255083	+	297	314	315	316	391	289	103	410	319	327
SA101588_00266	101588_1	255141	255244	+	104	160	178	168	152	144	97	184	137	171
SA101588_00267	101588_1	255333	256358	+	1026	397	565	553	522	506	516	641	471	483
SA101588_00268	101588_1	256351	257046	+	696	175	185	150	220	162	184	249	176	168
SA101588_00269	101588_1	257064	257885	+	822	336	403	423	637	569	555	676	529	645
SA101588_00270	101588_1	258693	258887	+	195	40682	63032	63131	35520	29417	13628	38969	28582	31133
SA101588_00271	101588_1	259121	259972	-	852	1382	1511	1215	1743	1803	1869	2144	1836	1729
SA101588_00272	101588_1	260300	261061	+	762	5844	6912	6499	8635	7562	6303	9108	7092	6856
SA101588_00273	101588_1	261160	262467	+	1308	7787	7533	6795	10954	10241	9528	12014	10192	8729
SA101588_00274	101588_1	262582	263823	+	1242	6241	6422	5887	11107	10443	7943	12474	10212	9244
SA101588_00275	101588_1	263813	264277	+	465	2243	2560	2310	4729	4275	3225	5137	4283	3767
SA101588_00276	101588_1	264428	265825	+	1398	9218	9671	8669	14077	13489	8279	15748	12974	11953
SA101588_00277	101588_1	266157	266471	-	315	44	41	36	33	41	10	23	30	24
SA101588_00278	101588_1	266840	267880	+	1041	1178	1085	1057	921	710	835	944	746	817
SA101588_00279	101588_1	267894	268961	+	1068	1261	1261	1334	1076	885	1122	1241	765	916
SA101588_00280	101588_1	269304	270152	+	849	1079	1337	1159	606	565	551	806	638	600
SA101588_00281	101588_1	270165	270992	+	828	529	555	544	304	309	259	401	326	252
SA101588_00282	101588_1	271019	272338	+	1320	1111	1114	1057	873	736	683	950	736	809
SA101588_00283	101588_1	272422	273339	+	918	5349	6163	5727	5126	4938	2753	5760	4618	4813
